state,tmax,tmin,tmed,date
MG,29.17,14.64,20.94,20200502
MS,32.4,17.4,23.92,20200502
MT,33.29,19.73,25.54,20200502
PA,31.92,22.73,26.18,20200502
PB,31.09,21.73,25.62,20200502
PE,29.9,21.32,24.57,20200502
PI,32.03,21.33,25.84,20200502
PR,26.07,15.1,19.8,20200502
RJ,29.57,18.17,22.77,20200502
RN,32.26,23.46,27.41,20200502
RO,32.79,22.81,26.82,20200502
RR,29.99,23.51,26.2,20200502
RS,21.38,9.82,14.98,20200502
SC,21.09,11.41,15.51,20200502
SE,29.11,23.57,25.8,20200502
SP,29.66,15.32,21.68,20200502
TO,33.57,21.08,26.13,20200502
AC,29.34,23.0,25.26,20200503
AL,31.09,22.94,26.18,20200503
AM,30.63,23.32,25.81,20200503
AP,29.72,23.8,25.75,20200503
BA,31.1,19.58,24.37,20200503
CE,32.54,22.2,26.53,20200503
DF,28.2,12.98,20.33,20200503
ES,27.48,18.87,22.45,20200503
GO,30.56,16.12,22.5,20200503
MA,33.79,23.32,27.84,20200503
MG,28.69,14.98,20.94,20200503
MS,32.15,17.88,24.01,20200503
MT,32.91,19.76,25.32,20200503
PA,31.99,22.99,26.54,20200503
PB,31.16,21.76,25.68,20200503
PE,31.05,21.1,24.92,20200503
PI,33.04,21.64,26.56,20200503
PR,24.76,11.19,17.22,20200503
RJ,24.02,18.44,20.6,20200503
RN,32.22,23.74,27.59,20200503
RO,32.49,22.51,26.35,20200503
RR,30.35,23.28,26.24,20200503
RS,23.37,8.88,14.85,20200503
SC,21.75,7.88,13.67,20200503
SE,31.11,23.32,26.44,20200503
SP,26.53,15.18,20.33,20200503
TO,33.2,21.35,26.04,20200503
AC,30.59,22.46,25.26,20200504
AL,30.27,23.0,26.43,20200504
AM,31.06,23.27,25.99,20200504
AP,30.83,23.72,26.07,20200504
BA,29.67,19.74,24.05,20200504
CE,32.58,22.68,26.78,20200504
DF,28.16,13.04,20.25,20200504
ES,27.54,17.82,22.06,20200504
GO,30.7,15.97,22.32,20200504
MA,33.48,23.61,27.78,20200504
MG,27.16,14.75,20.15,20200504
MS,32.26,18.53,24.33,20200504
MT,32.95,19.6,25.13,20200504
PA,32.31,22.87,26.61,20200504
PB,31.05,21.39,25.78,20200504
PE,30.51,21.19,25.17,20200504
PI,32.85,21.91,26.87,20200504
PR,25.75,11.88,17.37,20200504
RJ,25.06,14.22,19.2,20200504
RN,31.43,23.28,27.23,20200504
RO,32.51,22.79,26.16,20200504
RR,31.85,22.71,25.93,20200504
RS,23.61,10.99,16.3,20200504
SC,23.37,9.92,14.97,20200504
SE,30.72,23.96,27.09,20200504
SP,27.25,12.48,18.99,20200504
TO,33.77,22.17,26.86,20200504
AC,32.41,22.84,26.1,20200505
AL,29.6,22.95,25.9,20200505
AM,30.98,23.35,25.97,20200505
AP,29.8,23.75,25.83,20200505
BA,29.12,19.35,23.63,20200505
CE,31.78,22.2,26.27,20200505
DF,28.71,14.42,21.2,20200505
ES,28.79,16.79,22.05,20200505
GO,31.14,16.21,22.52,20200505
MA,32.85,23.51,27.64,20200505
MG,28.32,15.09,20.44,20200505
MS,32.15,18.61,24.18,20200505
MT,32.97,20.85,25.52,20200505
PA,31.84,23.1,26.57,20200505
PB,29.34,21.61,25.35,20200505
PE,29.75,21.18,24.8,20200505
PI,31.3,21.44,26.12,20200505
PR,25.09,12.93,18.15,20200505
RJ,28.01,15.86,20.66,20200505
RN,31.39,23.4,26.96,20200505
RO,32.66,23.43,26.66,20200505
RR,30.49,23.27,26.36,20200505
RS,20.05,13.77,16.3,20200505
SC,21.11,11.7,15.34,20200505
SE,30.55,23.02,26.48,20200505
SP,29.06,12.47,19.43,20200505
TO,33.58,22.68,27.0,20200505
AC,30.33,23.18,25.85,20200506
AL,30.28,22.85,26.27,20200506
AM,30.91,23.52,25.89,20200506
AP,31.23,23.56,26.14,20200506
BA,29.36,19.58,23.74,20200506
CE,31.84,22.0,26.36,20200506
DF,27.57,15.45,21.11,20200506
ES,30.9,18.42,22.73,20200506
GO,29.13,18.39,22.83,20200506
MA,32.86,23.36,27.49,20200506
MG,28.53,15.9,21.04,20200506
MS,25.38,19.42,22.43,20200506
MT,29.95,22.36,25.43,20200506
PA,31.14,22.86,26.22,20200506
PB,30.63,21.27,25.49,20200506
PE,29.97,21.41,25.07,20200506
PI,31.43,21.83,26.0,20200506
PR,19.77,15.23,17.34,20200506
RJ,29.87,17.8,22.41,20200506
RN,32.4,22.9,27.16,20200506
RO,29.14,23.26,25.56,20200506
RR,28.75,23.09,25.1,20200506
RS,16.69,8.48,12.99,20200506
SC,17.22,12.36,14.5,20200506
SE,30.67,23.48,26.61,20200506
SP,27.68,16.26,21.36,20200506
TO,32.22,22.57,26.38,20200506
AC,26.0,21.47,22.89,20200507
AL,29.83,22.94,25.93,20200507
AM,30.28,23.1,25.73,20200507
AP,28.6,23.27,25.53,20200507
BA,30.57,19.68,24.27,20200507
CE,32.06,21.88,26.28,20200507
DF,23.71,17.47,19.94,20200507
ES,26.99,19.63,22.97,20200507
GO,25.79,18.96,21.58,20200507
MA,33.18,23.4,27.68,20200507
MG,25.38,16.98,20.62,20200507
MS,22.38,11.76,16.65,20200507
MT,25.59,19.72,21.97,20200507
PA,30.65,23.19,26.13,20200507
PB,31.21,20.85,25.45,20200507
PE,30.49,20.74,24.97,20200507
PI,32.66,21.1,26.16,20200507
PR,20.07,6.49,12.68,20200507
RJ,22.24,17.94,20.17,20200507
RN,32.3,22.53,27.2,20200507
RO,24.56,19.65,21.72,20200507
RR,29.16,22.88,24.9,20200507
RS,17.4,5.44,10.66,20200507
SC,18.36,4.6,10.5,20200507
SE,29.03,23.23,25.83,20200507
SP,22.45,14.39,18.53,20200507
TO,32.1,22.44,26.09,20200507
AC,26.41,16.1,20.18,20200508
AL,30.35,22.47,25.85,20200508
AM,28.08,21.78,24.33,20200508
AP,31.2,22.66,26.45,20200508
BA,28.83,20.65,24.16,20200508
CE,32.4,21.5,26.31,20200508
DF,24.36,17.57,19.86,20200508
ES,23.78,17.22,20.0,20200508
GO,27.66,17.05,21.17,20200508
MA,33.37,23.14,27.5,20200508
MG,23.79,15.64,18.99,20200508
MS,25.8,8.87,15.9,20200508
MT,28.48,17.66,21.75,20200508
PA,31.36,22.69,26.03,20200508
PB,31.21,19.96,25.04,20200508
PE,30.43,20.52,24.77,20200508
PI,32.51,21.53,26.47,20200508
PR,22.14,7.14,13.06,20200508
RJ,23.9,15.52,18.91,20200508
RN,32.35,22.3,26.95,20200508
RO,28.79,17.73,21.31,20200508
RR,30.72,22.46,25.05,20200508
RS,20.72,5.56,11.43,20200508
SC,20.53,6.12,11.42,20200508
SE,30.5,22.93,26.06,20200508
SP,24.22,10.21,16.42,20200508
TO,32.07,22.6,26.25,20200508
AC,30.6,16.97,21.99,20200509
AL,29.35,22.25,25.25,20200509
AM,30.53,21.84,25.09,20200509
AP,31.73,23.74,26.58,20200509
BA,25.43,19.66,22.33,20200509
CE,32.24,21.33,26.16,20200509
DF,23.13,16.48,18.65,20200509
ES,25.83,15.37,19.75,20200509
GO,27.77,16.34,21.13,20200509
MA,32.59,23.39,27.19,20200509
MG,24.29,13.75,18.21,20200509
MS,28.82,10.62,17.83,20200509
MT,31.02,18.28,22.75,20200509
PA,32.27,22.71,26.3,20200509
PB,31.01,19.94,25.02,20200509
PE,29.24,20.01,24.06,20200509
PI,31.74,22.22,26.21,20200509
PR,24.41,9.38,15.29,20200509
RJ,24.76,13.08,18.21,20200509
RN,31.78,23.0,26.83,20200509
RO,30.46,18.61,23.43,20200509
RR,30.98,22.45,25.32,20200509
RS,23.94,7.83,14.15,20200509
SC,22.1,7.62,13.01,20200509
SE,27.17,23.04,24.78,20200509
SP,26.66,10.98,17.63,20200509
TO,31.75,22.67,25.93,20200509
AC,32.4,18.88,23.59,20200510
AL,28.09,22.45,24.59,20200510
AM,31.3,22.45,25.77,20200510
AP,32.05,23.32,26.46,20200510
BA,26.39,18.16,21.78,20200510
CE,31.01,21.97,25.87,20200510
DF,25.65,14.64,19.08,20200510
ES,26.8,14.16,19.83,20200510
GO,28.95,16.3,21.56,20200510
MA,31.66,23.54,26.79,20200510
MG,25.0,12.29,17.88,20200510
MS,31.01,14.64,21.16,20200510
MT,31.88,20.28,24.73,20200510
PA,30.84,23.1,26.02,20200510
PB,30.66,20.13,24.8,20200510
PE,29.01,20.07,23.73,20200510
PI,29.94,21.69,25.58,20200510
PR,26.59,12.13,17.7,20200510
RJ,25.73,13.03,18.54,20200510
RN,31.66,22.36,26.49,20200510
RO,32.0,21.15,25.25,20200510
RR,31.66,23.15,26.69,20200510
RS,27.06,10.83,17.16,20200510
SC,24.58,10.38,15.42,20200510
SE,28.14,22.41,24.49,20200510
SP,27.21,11.97,18.67,20200510
TO,31.1,22.01,25.49,20200510
AC,33.36,20.45,25.48,20200511
AL,28.79,21.89,24.82,20200511
AM,32.76,23.1,26.64,20200511
AP,30.55,23.24,26.11,20200511
BA,27.42,18.12,22.01,20200511
CE,32.24,21.35,26.04,20200511
DF,26.14,13.51,19.77,20200511
ES,27.61,15.05,20.62,20200511
GO,29.41,16.4,22.0,20200511
MA,32.21,22.77,26.75,20200511
MG,26.02,12.17,18.18,20200511
MS,32.06,17.89,23.46,20200511
MT,31.66,21.35,25.27,20200511
PA,31.18,22.8,25.97,20200511
PB,31.26,20.8,25.5,20200511
PE,29.41,20.42,24.1,20200511
PI,31.01,20.63,25.12,20200511
PR,28.32,13.36,19.54,20200511
RJ,27.28,13.86,19.3,20200511
RN,33.35,22.73,27.38,20200511
RO,31.97,22.97,26.29,20200511
RR,31.86,23.59,26.72,20200511
RS,27.46,15.54,20.25,20200511
SC,26.59,11.28,17.01,20200511
SE,28.66,21.95,24.59,20200511
SP,28.4,12.65,19.43,20200511
TO,32.13,21.03,25.55,20200511
AC,33.75,21.42,26.4,20200512
AL,28.58,22.7,24.88,20200512
AM,31.17,23.61,26.54,20200512
AP,31.48,23.45,25.93,20200512
BA,28.27,19.1,23.0,20200512
CE,32.14,21.15,25.89,20200512
DF,26.25,13.53,19.05,20200512
ES,28.42,15.52,21.01,20200512
GO,29.58,16.23,21.83,20200512
MA,32.92,22.37,27.01,20200512
MG,26.9,12.86,18.88,20200512
MS,27.85,19.79,23.63,20200512
MT,32.45,21.61,25.63,20200512
PA,32.5,22.71,26.47,20200512
PB,30.22,21.59,25.24,20200512
PE,29.11,21.04,24.21,20200512
PI,31.74,20.77,25.66,20200512
PR,24.2,15.43,19.59,20200512
RJ,27.52,13.89,19.15,20200512
RN,32.09,22.91,26.87,20200512
RO,32.06,23.64,26.62,20200512
RR,31.71,23.31,26.34,20200512
RS,20.32,15.92,17.96,20200512
SC,22.81,13.51,17.42,20200512
SE,28.54,22.85,24.86,20200512
SP,27.73,12.91,19.53,20200512
TO,32.66,20.9,25.84,20200512
AC,32.85,22.97,26.48,20200513
AL,29.07,22.81,25.3,20200513
AM,30.91,23.55,26.01,20200513
AP,32.22,23.85,26.8,20200513
BA,28.54,19.48,23.24,20200513
CE,32.32,21.67,26.21,20200513
DF,27.06,14.49,19.75,20200513
ES,28.91,17.01,21.48,20200513
GO,29.28,16.67,22.07,20200513
MA,33.64,22.96,27.61,20200513
MG,27.11,14.58,19.95,20200513
MS,25.32,19.79,22.19,20200513
MT,32.64,21.18,25.76,20200513
PA,32.55,22.95,26.82,20200513
PB,31.52,21.01,25.44,20200513
PE,30.13,21.3,24.71,20200513
PI,32.17,21.53,26.19,20200513
PR,21.09,16.28,18.36,20200513
RJ,28.6,15.42,20.55,20200513
RN,32.7,22.63,27.18,20200513
RO,31.84,23.26,26.34,20200513
RR,27.42,23.41,24.95,20200513
RS,19.33,14.91,16.62,20200513
SC,19.12,15.01,16.69,20200513
SE,28.72,22.76,25.0,20200513
SP,24.92,14.81,19.52,20200513
TO,33.32,21.4,26.15,20200513
AC,29.37,23.06,24.93,20200514
AL,29.7,22.63,25.55,20200514
AM,31.74,22.82,26.12,20200514
AP,29.34,23.8,25.85,20200514
BA,29.7,19.28,23.5,20200514
CE,32.45,21.93,26.43,20200514
DF,26.96,15.07,20.52,20200514
ES,31.48,18.54,23.01,20200514
GO,28.25,18.3,22.36,20200514
MA,33.75,23.32,27.76,20200514
MG,27.31,16.2,20.8,20200514
MS,24.05,18.75,20.88,20200514
MT,29.34,21.3,24.32,20200514
PA,32.41,22.95,26.67,20200514
PB,30.91,21.62,25.53,20200514
PE,29.94,21.57,24.92,20200514
PI,33.13,21.67,26.54,20200514
PR,21.79,14.72,17.6,20200514
RJ,27.96,17.69,21.85,20200514
RN,31.97,23.44,27.23,20200514
RO,26.68,22.64,24.2,20200514
RR,31.7,22.54,25.67,20200514
RS,17.4,8.24,12.69,20200514
SC,18.06,12.48,15.05,20200514
SE,29.89,23.06,25.66,20200514
SP,23.72,16.59,19.69,20200514
TO,33.44,21.68,26.03,20200514
AC,25.48,20.67,22.64,20200515
AL,29.67,23.05,25.82,20200515
AM,30.28,23.11,25.65,20200515
AP,31.2,23.41,25.81,20200515
BA,30.43,19.55,24.14,20200515
CE,31.22,22.72,26.17,20200515
DF,26.2,17.74,21.06,20200515
ES,27.45,19.85,22.93,20200515
GO,28.87,19.01,22.75,20200515
MA,33.71,23.23,27.52,20200515
MG,26.8,17.33,21.06,20200515
MS,25.23,14.8,19.21,20200515
MT,29.8,20.65,23.87,20200515
PA,31.99,22.53,26.13,20200515
PB,28.43,22.34,25.19,20200515
PE,29.45,21.39,24.67,20200515
PI,33.5,21.55,26.77,20200515
PR,21.29,11.63,15.63,20200515
RJ,21.54,18.85,20.07,20200515
RN,29.63,24.14,26.45,20200515
RO,28.63,21.62,24.01,20200515
RR,31.41,23.49,26.47,20200515
RS,19.01,5.22,10.93,20200515
SC,18.72,6.53,11.88,20200515
SE,30.16,22.91,26.02,20200515
SP,23.63,15.88,19.1,20200515
TO,33.99,21.75,26.53,20200515
AC,29.46,20.6,23.49,20200516
AL,30.47,21.82,25.23,20200516
AM,30.64,22.88,25.54,20200516
AP,32.98,23.35,26.43,20200516
BA,30.2,19.8,24.28,20200516
CE,29.94,22.57,25.5,20200516
DF,26.19,17.78,21.02,20200516
ES,22.36,19.24,20.56,20200516
GO,29.3,19.32,23.01,20200516
MA,32.27,23.13,26.81,20200516
MG,25.37,17.83,20.72,20200516
MS,26.8,12.63,18.53,20200516
MT,30.37,19.34,23.68,20200516
PA,31.29,22.62,25.8,20200516
PB,28.82,22.03,24.92,20200516
PE,30.16,20.47,24.47,20200516
PI,32.54,21.04,26.31,20200516
PR,23.42,10.1,15.47,20200516
RJ,23.43,17.26,19.6,20200516
RN,28.85,23.64,25.74,20200516
RO,29.7,21.43,24.45,20200516
RR,33.15,23.16,26.73,20200516
RS,22.62,7.46,13.2,20200516
SC,20.86,8.35,13.06,20200516
SE,30.68,22.44,25.78,20200516
SP,26.0,13.82,18.83,20200516
TO,32.76,22.25,26.38,20200516
AC,32.01,19.61,23.46,20200517
AL,29.65,22.73,25.63,20200517
AM,30.82,22.63,25.46,20200517
AP,32.21,23.9,26.49,20200517
BA,28.66,20.39,23.83,20200517
CE,31.99,22.04,25.85,20200517
DF,25.15,16.3,19.59,20200517
ES,26.13,18.58,20.99,20200517
GO,29.06,17.31,22.24,20200517
MA,32.68,22.94,26.72,20200517
MG,25.72,16.45,19.95,20200517
MS,28.6,12.83,18.83,20200517
MT,31.09,18.61,23.59,20200517
PA,31.36,22.74,25.84,20200517
PB,31.25,21.66,25.12,20200517
PE,30.98,21.24,24.98,20200517
PI,32.85,21.36,26.26,20200517
PR,26.03,9.48,16.34,20200517
RJ,26.26,17.01,20.74,20200517
RN,31.99,22.53,26.15,20200517
RO,31.49,20.68,24.56,20200517
RR,29.3,23.9,25.72,20200517
RS,25.66,10.16,16.24,20200517
SC,24.63,7.29,14.05,20200517
SE,30.62,22.73,25.79,20200517
SP,27.44,11.71,18.39,20200517
TO,32.36,22.48,26.48,20200517
AC,32.59,20.86,24.97,20200518
AL,30.1,22.92,25.96,20200518
AM,30.69,23.06,25.81,20200518
AP,30.28,23.52,25.77,20200518
BA,29.06,20.46,23.82,20200518
CE,31.67,22.12,26.11,20200518
DF,26.4,17.06,20.3,20200518
ES,27.91,18.08,21.96,20200518
GO,29.35,16.95,22.33,20200518
MA,33.21,23.6,27.41,20200518
MG,26.93,15.5,20.08,20200518
MS,29.56,14.18,20.33,20200518
MT,32.08,19.98,24.49,20200518
PA,31.0,22.57,25.76,20200518
PB,30.64,22.31,25.39,20200518
PE,30.52,21.93,25.2,20200518
PI,33.05,21.62,26.58,20200518
PR,26.67,10.92,17.48,20200518
RJ,26.65,17.01,21.02,20200518
RN,31.24,23.97,26.7,20200518
RO,30.89,21.55,25.2,20200518
RR,31.3,22.89,26.54,20200518
RS,25.86,10.61,16.7,20200518
SC,25.47,9.14,15.38,20200518
SE,30.34,22.24,25.77,20200518
SP,28.13,11.97,18.82,20200518
TO,30.66,22.76,25.86,20200518
AC,32.08,21.41,25.5,20200519
AL,30.02,23.31,26.04,20200519
AM,31.17,23.09,25.84,20200519
AP,32.79,23.18,27.19,20200519
BA,27.66,20.57,23.43,20200519
CE,32.28,22.28,26.37,20200519
DF,24.26,15.93,19.45,20200519
ES,27.08,18.93,21.69,20200519
GO,28.37,17.34,22.14,20200519
MA,32.98,23.32,27.35,20200519
MG,26.1,15.58,20.09,20200519
MS,30.86,15.1,21.31,20200519
MT,31.44,20.65,24.89,20200519
PA,31.09,22.56,25.75,20200519
PB,31.31,22.19,25.82,20200519
PE,30.77,21.82,25.13,20200519
PI,32.91,21.48,26.44,20200519
PR,25.97,11.92,17.8,20200519
RJ,26.36,17.15,21.0,20200519
RN,32.74,23.74,27.6,20200519
RO,32.1,22.5,26.14,20200519
RR,32.26,23.75,27.06,20200519
RS,26.99,12.84,18.31,20200519
SC,24.15,9.96,15.92,20200519
SE,28.02,23.82,25.44,20200519
SP,27.77,13.58,19.64,20200519
TO,31.4,22.48,25.62,20200519
AC,31.99,22.52,25.97,20200520
AL,27.5,22.87,24.68,20200520
AM,31.87,23.03,26.35,20200520
AP,31.8,24.1,27.2,20200520
BA,27.28,19.66,22.82,20200520
CE,32.27,22.44,26.35,20200520
DF,23.24,17.37,19.6,20200520
ES,26.48,17.58,21.04,20200520
GO,28.54,18.67,22.62,20200520
MA,32.98,23.35,27.39,20200520
MG,24.86,15.94,19.77,20200520
MS,31.33,17.63,22.92,20200520
MT,31.9,21.6,25.51,20200520
PA,32.24,22.43,26.19,20200520
PB,30.19,22.28,25.58,20200520
PE,28.9,21.88,24.46,20200520
PI,31.87,21.68,26.05,20200520
PR,26.86,14.62,19.39,20200520
RJ,25.99,16.27,20.52,20200520
RN,31.39,23.38,26.89,20200520
RO,32.14,23.03,26.35,20200520
RR,32.73,23.56,26.99,20200520
RS,28.03,14.4,19.62,20200520
SC,23.88,12.84,17.0,20200520
SE,27.29,23.13,24.9,20200520
SP,28.28,15.74,21.13,20200520
TO,32.51,22.32,26.14,20200520
AC,32.19,22.56,25.68,20200521
AL,28.64,23.03,25.25,20200521
AM,32.13,22.68,26.43,20200521
AP,29.16,23.31,26.05,20200521
BA,27.07,19.24,22.6,20200521
CE,31.67,22.47,26.18,20200521
DF,26.48,15.26,19.78,20200521
ES,26.91,18.41,21.92,20200521
GO,29.71,17.61,22.64,20200521
MA,32.28,23.18,27.0,20200521
MG,25.93,15.35,19.58,20200521
MS,31.87,19.4,24.47,20200521
MT,32.55,21.55,25.73,20200521
PA,31.73,22.62,26.34,20200521
PB,29.47,21.62,24.9,20200521
PE,28.81,21.29,24.27,20200521
PI,31.22,21.85,26.14,20200521
PR,27.24,15.43,20.02,20200521
RJ,26.59,16.19,20.45,20200521
RN,30.92,23.28,26.4,20200521
RO,32.71,22.69,26.38,20200521
RR,32.59,23.48,26.98,20200521
RS,23.66,17.65,20.19,20200521
SC,24.55,15.37,18.87,20200521
SE,28.91,23.26,25.51,20200521
SP,28.54,15.15,20.72,20200521
TO,32.48,21.43,26.17,20200521
AC,33.49,21.99,26.11,20200522
AL,29.77,22.26,25.36,20200522
AM,32.98,23.15,26.81,20200522
AP,31.06,23.46,25.95,20200522
BA,28.41,20.13,23.38,20200522
CE,31.5,22.43,26.15,20200522
DF,26.92,15.57,20.36,20200522
ES,27.24,18.11,21.65,20200522
GO,30.25,17.85,22.91,20200522
MA,32.1,23.39,27.03,20200522
MG,26.9,15.46,20.12,20200522
MS,30.56,19.98,24.93,20200522
MT,33.0,20.89,25.78,20200522
PA,32.19,22.73,26.34,20200522
PB,30.48,20.95,25.04,20200522
PE,30.3,20.7,24.73,20200522
PI,31.91,22.64,26.51,20200522
PR,23.68,17.31,20.23,20200522
RJ,28.21,16.69,21.09,20200522
RN,32.1,22.6,26.45,20200522
RO,33.44,23.2,27.05,20200522
RR,32.08,22.69,26.18,20200522
RS,19.41,16.28,17.57,20200522
SC,19.96,15.72,17.94,20200522
SE,30.04,23.11,25.87,20200522
SP,29.35,15.76,21.45,20200522
TO,33.14,22.16,26.46,20200522
AC,31.81,22.6,25.03,20200523
AL,29.1,22.97,25.49,20200523
AM,31.85,23.62,26.39,20200523
AP,31.54,23.8,26.79,20200523
BA,29.56,19.99,23.84,20200523
CE,31.04,22.15,25.64,20200523
DF,28.47,16.72,21.34,20200523
ES,29.84,19.7,22.95,20200523
GO,28.41,19.02,22.79,20200523
MA,32.84,23.28,26.97,20200523
MG,26.79,16.59,20.85,20200523
MS,19.7,12.9,16.28,20200523
MT,28.42,19.2,23.14,20200523
PA,31.37,22.92,26.18,20200523
PB,28.77,21.47,24.8,20200523
PE,29.76,21.1,24.65,20200523
PI,32.9,21.47,26.29,20200523
PR,16.98,11.95,14.57,20200523
RJ,29.93,18.27,22.64,20200523
RN,29.53,23.38,26.0,20200523
RO,28.92,20.49,24.08,20200523
RR,29.75,22.65,25.58,20200523
RS,16.54,11.7,14.15,20200523
SC,18.33,12.06,14.83,20200523
SE,29.76,23.19,25.94,20200523
SP,21.81,16.68,19.39,20200523
TO,33.85,22.12,26.51,20200523
AC,23.27,15.18,19.37,20200524
AL,27.65,22.47,24.57,20200524
AM,27.95,21.68,23.99,20200524
AP,32.65,23.29,26.46,20200524
BA,30.4,19.8,24.33,20200524
CE,31.5,22.18,25.6,20200524
DF,26.47,17.93,20.94,20200524
ES,30.69,20.03,24.04,20200524
GO,24.52,16.6,20.09,20200524
MA,32.96,23.0,27.14,20200524
MG,24.89,16.78,20.25,20200524
MS,20.22,10.1,13.81,20200524
MT,25.82,15.48,19.35,20200524
PA,31.12,22.18,25.69,20200524
PB,28.21,20.99,23.8,20200524
PE,29.16,21.01,24.33,20200524
PI,32.77,21.69,26.36,20200524
PR,16.05,9.67,11.92,20200524
RJ,25.61,20.41,22.64,20200524
RN,29.27,22.84,24.97,20200524
RO,23.13,14.92,18.3,20200524
RR,31.62,22.86,26.03,20200524
RS,15.59,10.0,12.48,20200524
SC,16.34,10.14,12.55,20200524
SE,29.51,23.2,25.82,20200524
SP,16.77,11.56,14.15,20200524
TO,33.59,22.28,26.79,20200524
AC,28.44,14.91,19.42,20200525
AL,30.0,22.18,25.19,20200525
AM,28.36,20.37,23.52,20200525
AP,31.55,23.17,26.96,20200525
BA,30.81,19.6,24.21,20200525
CE,31.4,21.83,25.58,20200525
DF,26.28,17.51,20.54,20200525
ES,23.97,19.03,21.31,20200525
GO,26.43,15.05,19.15,20200525
MA,33.22,23.23,27.35,20200525
MG,24.21,15.32,18.68,20200525
MS,23.73,8.12,13.98,20200525
MT,28.99,15.84,20.57,20200525
PA,31.65,22.09,25.74,20200525
PB,30.03,21.49,24.2,20200525
PE,30.55,20.99,24.63,20200525
PI,33.54,21.14,26.75,20200525
PR,18.23,7.67,11.85,20200525
RJ,25.45,17.35,19.88,20200525
RN,31.58,23.0,25.74,20200525
RO,28.17,15.97,20.21,20200525
RR,31.4,23.13,26.25,20200525
RS,17.95,9.28,12.41,20200525
SC,18.39,8.47,12.71,20200525
SE,30.28,22.93,25.9,20200525
SP,20.8,9.41,14.1,20200525
TO,31.76,22.38,26.27,20200525
AC,30.58,16.32,21.98,20200526
AL,30.7,23.6,26.21,20200526
AM,30.6,20.89,24.7,20200526
AP,31.83,23.57,26.68,20200526
BA,29.77,20.29,24.22,20200526
CE,31.75,21.72,25.91,20200526
DF,25.45,14.87,19.24,20200526
ES,27.96,18.64,21.82,20200526
GO,26.22,13.35,18.87,20200526
MA,31.15,23.54,26.92,20200526
MG,24.8,13.26,17.97,20200526
MS,24.45,8.78,15.27,20200526
MT,29.22,15.68,21.1,20200526
PA,31.02,22.54,26.01,20200526
PB,30.25,21.58,24.87,20200526
PE,29.41,21.67,24.86,20200526
PI,31.07,21.93,26.09,20200526
PR,19.55,7.03,12.14,20200526
RJ,24.65,13.33,18.24,20200526
RN,31.73,23.31,26.29,20200526
RO,30.07,17.9,22.6,20200526
RR,31.88,23.47,26.44,20200526
RS,16.58,8.74,12.24,20200526
SC,17.25,8.07,12.16,20200526
SE,30.71,23.95,26.49,20200526
SP,21.98,7.75,14.06,20200526
TO,30.67,21.89,25.49,20200526
AC,30.87,18.98,23.58,20200527
AL,32.11,23.03,26.81,20200527
AM,31.28,21.71,25.21,20200527
AP,31.1,23.09,26.22,20200527
BA,30.5,20.06,24.28,20200527
CE,32.09,21.35,25.98,20200527
DF,27.01,8.73,16.92,20200527
ES,26.68,14.3,19.9,20200527
GO,27.43,10.83,17.54,20200527
MA,32.89,22.98,26.81,20200527
MG,25.31,10.26,16.68,20200527
MS,26.04,8.66,15.52,20200527
MT,29.8,14.12,20.29,20200527
PA,31.43,22.19,25.56,20200527
PB,31.06,21.53,25.39,20200527
PE,31.68,21.04,25.29,20200527
PI,32.62,21.77,25.9,20200527
PR,23.18,5.99,12.78,20200527
RJ,24.36,11.0,16.53,20200527
RN,31.91,23.24,26.72,20200527
RO,30.29,16.84,22.29,20200527
RR,30.25,22.32,24.96,20200527
RS,20.13,6.31,11.63,20200527
SC,19.76,5.13,11.09,20200527
SE,32.19,23.78,27.38,20200527
SP,24.21,6.73,14.34,20200527
TO,31.48,21.02,24.82,20200527
AC,31.33,17.19,22.37,20200528
AL,30.21,23.45,26.41,20200528
AM,31.42,22.02,25.54,20200528
AP,31.89,23.95,26.55,20200528
BA,28.02,19.59,23.38,20200528
CE,32.21,21.74,26.05,20200528
DF,26.57,10.71,18.22,20200528
ES,25.62,13.19,18.28,20200528
GO,28.71,11.32,18.57,20200528
MA,32.55,23.0,26.76,20200528
MG,25.12,9.55,16.22,20200528
MS,27.35,9.69,16.87,20200528
MT,31.38,15.14,21.56,20200528
PA,32.12,22.49,26.19,20200528
PB,30.68,22.11,25.37,20200528
PE,29.87,22.0,25.04,20200528
PI,30.54,22.04,25.71,20200528
PR,23.54,7.81,14.12,20200528
RJ,23.43,12.56,17.49,20200528
RN,31.72,23.55,26.7,20200528
RO,30.77,17.38,22.45,20200528
RR,30.21,22.42,25.17,20200528
RS,24.87,8.27,14.26,20200528
SC,23.3,5.92,12.21,20200528
SE,29.11,23.83,26.25,20200528
SP,24.57,7.2,14.73,20200528
TO,32.06,21.03,25.35,20200528
AC,31.68,17.19,22.44,20200529
AL,26.87,22.01,24.26,20200529
AM,32.02,22.14,25.88,20200529
AP,32.73,23.23,26.67,20200529
BA,27.06,17.43,21.57,20200529
CE,29.83,21.89,25.41,20200529
DF,24.86,11.42,17.84,20200529
ES,25.7,13.38,19.36,20200529
GO,28.77,12.12,19.12,20200529
MA,31.47,22.95,26.22,20200529
MG,24.96,9.84,16.28,20200529
MS,29.13,11.57,18.43,20200529
MT,32.35,17.23,23.08,20200529
PA,31.96,22.69,26.23,20200529
PB,26.63,21.47,23.73,20200529
